Model,Order,Seasonal_Order,Uses_Exogenous,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Parameters,AIC,BIC
"ARIMA(2,0,1)","(2,0,1)",None,False,1987.764547680428,1987.764547680428,1739.3782094785106,1739.3782094785106,-0.00013239787906083045,-0.00013239787906083045,5,244732.99497466214,244771.1559927916
SARIMAX_Daily,"(2,0,1)","(1,1,1,24)",False,1519.2976562674257,1519.2976562674257,1146.3124451883698,1146.3124451883698,0.41573031894304713,0.41573031894304713,6,242780.23641764506,242826.00993236044
SARIMAX_Exog,"(2,0,1)","(1,1,1,24)",True,1495.10791565074,1495.10791565074,1120.9401985908464,1120.9401985908464,0.43418729335349004,0.43418729335349004,13,242685.15194371983,242784.32789226982
