Model_Type,Model_Name,Test_RMSE,Test_MAE,Test_R2,Train_R2,Parameters,Model_Complexity,Training_Time,Uses_Exogenous,Handles_Nonlinearity,Overfitting_Gap,Complexity_Score,Efficiency_Score,Production_Deployment_Score,Research_Prototyping_Score,Resource_Constrained_Score
Random_Forest,Random Forest (Tuned),259.6074877093123,179.42665726382563,0.9829406671262656,0.989373784953512,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 478}",High,Medium,True,True,0.006433117827246426,3.0,0.32764688904208855,0.8562070648816256,0.9931762668505062,0.660262243239097
Statistical,"ARIMA(2,0,1)",1987.764547680428,1739.3782094785106,-0.0001323978790608,-0.0001323978790608,"Order: (2,0,1), Seasonal: nan",Low-Medium,Fast,False,False,0.0,1.5,-8.826525270720001e-05,0.43326713439380293,-5.2959151624320005e-05,0.5332936139696152
Statistical,SARIMAX_Daily,1519.2976562674255,1146.3124451883698,0.4157303189430471,0.4157303189430471,"Order: (2,0,1), Seasonal: (1,1,1,24)",Low-Medium,Fast,False,False,0.0,1.5,0.2771535459620314,0.6411984928048569,0.16629212757721884,0.6580524290162475
Statistical,SARIMAX_Exog,1495.10791565074,1120.9401985908464,0.43418729335349,0.43418729335349,"Order: (2,0,1), Seasonal: (1,1,1,24)",Low-Medium,Fast,True,False,0.0,1.5,0.2894581955689933,0.6504269800100783,0.373674917341396,0.6635895213393803
Deep_Learning,LSTM,280.01787083959937,208.07635065384375,0.9801795217326028,0.9625392444005522,"Window: 24, Features: 14",Very High,Slow,True,True,-0.017640277332050647,4.0,0.2450448804331507,0.8453818440659167,0.9920718086930411,0.6225819119861911
Deep_Learning,GRU,268.3381535016934,196.250009474184,0.9817984871922192,0.9641726545653734,"Window: 24, Features: 14",Very High,Slow,True,True,-0.017625832626845805,4.0,0.2454496217980548,0.8461869933841635,0.9927193948768878,0.623064712683035
